book	book_id	chapter	verse	text
2 Korintô	47	1	1	Me Paul, ñôma nu Kristô inoñnaga ni sômbôl i Nyambe, lôñni Timôtéô mankéé wés, me ntilna likoda li Nyambe li li yé i Korintô, yak ni bapubhaga bobasôna ba ba yé i Akaya yosôna:
2 Korintô	47	1	2	Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés lôñni Nwet le Yésu Kristô bi ba ni bé.
2 Korintô	47	1	3	Bibégés bi ba ni Nyambe ni Isañ Nwet wés Yésu Kristô, Tata nu a yôni ni konangoo, ni Nyambe nu hogbe yosôna,
2 Korintô	47	1	4	nu a nti bés hogbe ikété manoodana més momasôna, kayéle di pam i ti bôt bape hogbe ikété to mambe manoodana ni njel hogbe Nyambe a nti bés.
2 Korintô	47	1	5	Inyule nlélém kiki mandutu més inyu Kristô ma mbôl, hala ki nyen yak hogbe di nkôhna ni njel Kristô i mbôl.
2 Korintô	47	1	6	Ndi to di mboma manoodana, hala a yé inyu ti bé hogbe ni tohi; to ibale di nkôhna hogbe, hala a yé inyu ti bé hogbe i i nhôla bé i hônba minlélém mi mandutu yak bés di nkôhna.
2 Korintô	47	1	7	Yak botñem yés inyu nan i mpiñgla bé, di yik le ndik kiki ni nyoñ ngaba i mandutu, hala nyen n’a yoñ ki ngaba i hogbe.
2 Korintô	47	1	8	Inyule, a lôk kéé, di ngwés bé sôô bé i njiiha di bi kôhna i pes mbok Asia. Di bi nok ndutu iloo hihéga, ndutu i nloo yak ngui yés bésbomede, kayéle di bé kon woñi ngandak Yak inyu biniñ gwés.
2 Korintô	47	1	9	Ni maliga, di bi nôgda le di bi kôhna mbagi nyemb. Hala a bé inyu boñ le di bôdôl bañ bésbomede ñem, ndik Nyambe nu a ntugul bawoga.
2 Korintô	47	1	10	A bi sôñ bés le di pei béba nyemb ini, a ga sôñ ki bés; nye ki nyen di mbôdôl ñem le a’ ke ni bisu i sôñ bés.
2 Korintô	47	1	11	Yak bé ni nla hôla bés ni njel minyemhe minan inyu yés, inyule ibale ngandak bôt i nsoohe inyu yés, Nyambe a ñemble, a hôla ki bés; inyu hala, ngandak bôt y’a ti ki mayéga inyu yés.
2 Korintô	47	1	12	Inyu jam lini nyen di nkadba, le kiññem yés i mbok mbôgi le di niñ munu nkoñ ’isi, ndi téntén ipôla nan, ni libak lipubhaga lôñni ñem maliga Nyambe a nti, ha ni pék i bôt ba binam bé, ndi ni konangoo i mbuma ñañ i Nyambe.
2 Korintô	47	1	13	Inyule di ta yaga bé i tilna bé mam mape handugi mam ni nla añ, ni nogok ki; me gwé ki botñem le n’a kônde nok i mam mana i nya i yôni,
2 Korintô	47	1	14	hala yaga kiki ni bi nok i ngim likala le bés bon di yé njom i ntinde bé i kadba, kiki yak bé n’a ba njom i ntinde bés i kadba i hilo hi Nwet wés Yésu.
2 Korintô	47	1	15	Ni ini botñem nyen me bé gwés le me lo ndugi i bééni, kayéle ni kon maséé inyu ngélé i nyônôs iba;
2 Korintô	47	1	16	inyule me ban-ga ngôñ i yuuga bé ngéda me mba me nke i Makédônia, ni ngéda me mba me nlôl i Makédônia, inyu boñ le ni yéga me mu njel ngéda me mba me nke i Yudéa.
2 Korintô	47	1	17	Ndi ngéda me bééna hala i mahoñol, me bi yoñ bé i jam li kiki yañga jam, hala bé? Tole, baa me bi hoñol i boñ hala ni litehge li mut binam, kayéle me nkal le: “Ñ, ñ;” ndi i mbus, me kal le: “To, to”?
2 Korintô	47	1	18	Ndi di nla bôdôl Nyambe ñem munu jam lini le, i mam di bi kal bé ma ta bé “ñ”, ndi ma bak “to.”
2 Korintô	47	1	19	Inyule Yésu Kristô, Man Nyambe nu di bi añal ipôla nan, hala wee me ni Silvanô lôñni Timôtéô, “ñ” wé a bi yila bé “to,” ndi “ñ” wé a bi yila “ñ.”
2 Korintô	47	1	20	Inyule to ibale mimbônga mi Nyambe mi yé ngandak lelaa, nwominsôna mi bi yila “ñ” ni njel yé. Jon ni njel yé ki nyen di nkal Nyambe le “Amen”, le ndi Nyambe a kôhna lipém ni njel yés.
2 Korintô	47	1	21	Ndi Nyambe nyen a mbogye le bé ni bés di yé ba Kristô, nye ki nyen a bi yilha bés minhook.
2 Korintô	47	1	22	A bi ha ki béndél yé i ngii yés, a ti ki bés bibep bi mam ma nlama lo ikété miñem nwés, hala wee mbuu mpubi.
2 Korintô	47	1	23	Nano me nsébél Nyambe le a ba mbôgi ikolba memede, le inyu sôñ bé nyen me yé ngi lo i Korintô.
2 Korintô	47	1	24	Hala a ngwés bé kal le di ñane hémle nan, ndi di yé baso bagwelnson inyu maséé manan, inyule ni njel hémle nan nyen ni téé bitétéé.
book	book_id	chapter	verse	text
2 Korintô	47	2	1	Inyule me nyoñ makidik le m’a lo ha bé i bééni i ti bé ndutu ñem.
2 Korintô	47	2	2	Inyule Ibale me nti bé ndutu ñem, njee a ga ba ha inyu kônha me maséé handugi i mut me nti ndutu ñem?
2 Korintô	47	2	3	Me bi tilna bé hala inyu boñ le ngéda me nlo, me bana bañ ndutu ñem inyu bôt me lam-ga kônôl maséé, inyule me yé nkwook nkaa le i jam li nkônha me maséé li nkônha yak bébobasôna nlélém maséé.
2 Korintô	47	2	4	Inyule inyu ngandak njiiha ni njôhge ñem nyen me bi tilna bé lôñni ngandak gwiiha, ha inyu ti bé ndutu ñem bé, ndi inyu unda bé njôôñ gwéha me gwé inyu nan.
2 Korintô	47	2	5	Ndi ibale mut a bi ti bôt ndutu ñem, me bé nyen a bi ti ndutu ñem, ndi i ngim likala, bébobasôna bon a bi ti ndutu ñem; to hala kiki me gwé bé ngôñ i babal bé ni bibuk gwem.
2 Korintô	47	2	6	Ini kogse libim li bôt li nti i mut nunu i kôli;
2 Korintô	47	2	7	Ndi nano ni nlama nwéhél nye, ni ti ki nye hogbe inyu boñ le a bana bañ ndutu ñem iloo hihéga.
2 Korintô	47	2	8	Jon me nsoohe bé le ni unda toi nye gwéha nan.
2 Korintô	47	2	9	Inyule inyu hala ki nyen me bi tilna bé: Inyu yi too n’a unda le ni yé manôgla ikété mam momasôna.
2 Korintô	47	2	10	Ibale ni nwéhél mut to limbe jam, yak me me nwéhél nye jo. Ni maliga, mam momasôna me bi nwéhél (ibale me bi nwéhél mut jam), me bi nwéhél mo inyu loñge nan i bisu bi Kristô,
2 Korintô	47	2	11	kayéle Satan a lôk bañ bés, inyule di nek bé sômbôl yé.
2 Korintô	47	2	12	Ndi ngéda me bi pam i Trôas inyu añal ñañ nlam u Kristô, yak nwemel inyu nson u yibla inyu yem ikété nson u Nwet,
2 Korintô	47	2	13	me bééna bé ñem nwee inyule me bi koba bé me mankéé wem Titô. Jon me bi tjôla bo, me yoñ njel i Makédônia.
2 Korintô	47	2	14	Ndi Nyambe a kôhna mayéga, nyen a ñéga bés ngéda yosôna ikété maséé ma bôt ba nyémbél gwét lôñ yada ni Kristô, a mboñ ki ni njel yés le bôt ba nok njiñ i yi yé homa nyensôna!
2 Korintô	47	2	15	Inyule ngéda di ñañal inyu Kristô, di yéne Nyambe loñge njiñ ipôla bôt ba yé i kôhna tohi, ni ipôla bôt ba yé i tjiba;
2 Korintô	47	2	16	inyu bôt ba ntjiba, di yé njiñ nyemb i i nkena i nyemb; ndi inyu bôt ba nkôhna tohi, di yé njiñ niñ i i nkena i niñ. Ndi njee a kôli toi gwel nson unu?
2 Korintô	47	2	17	Bés; inyule di ta bé banuñul bañga i Nyambe kiki ngandak bôt ipe, ndi di mpot yaga ni ñem maliga wonsôna kiki bôt le Nyambe a ñep, ñ, di mpot kiki banigil ba Kristô i bisu bi Nyambe.
book	book_id	chapter	verse	text
2 Korintô	47	3	1	Baa hala a yé ki nseñ le di témb di unda bé bonjee di yé? Baa i ngi bédga, kiki bôt bahogi, le di ti bé bikaat bi bi mbégés bés, tole bé bon ni nlama ti bés bikaat bi?
2 Korintô	47	3	2	Ngo bébomede bon ni yé kaat yés, ntilga ikété miñem nwés, kaat le bôt ba binam bobasôna ba ñañ, ba yik ki.
2 Korintô	47	3	3	Inyule i yé ntiik le ni yé yaga kaat Kristô, kaat le bés bagwelnson di bi tila, ha ni tinti bé, ndi ni mbuu u Nyambe nu a niñ; ha i dibambha di ngok bé, ndi i dibambha di minsôn, ikété miñem.
2 Korintô	47	3	4	Ni njel Kristô nyen di mbôdôl Nyambe ñem i ntén unu.
2 Korintô	47	3	5	Hala a ngwés bé kal le bésbomede di kôli yaga kal le jam jo ki jo li nlôl ni bés, ndi ngap yés i gwel nson i nya i kôli i nlôl bés yak Nyambe,
