book	book_id	chapter	verse	text
1 Yôhanes	62	1	1	I jam li bé ibôdôl i bibôdle, li di bi emble, di tehe jo ni mis més, di tibil béñge jo, yak moo més ma tihba jo, hala wee bañga i niñ,
1 Yôhanes	62	1	2	(ñ, niñ boga i bi yeli, di tehe ki yo, di mbôgôl yo mbôgi, di añlege ki bé niñ boga i i bé ni Tata, yon ba bi yeelene bés),
1 Yôhanes	62	1	3	i jam di bi tehe ni nok, jon yak bés di yé i añle bé, inyu boñ le yak bé ni bana adna ni bés. I adna ini di gwé, i yé lôñni Tata bo Man wé Yésu Kristô.
1 Yôhanes	62	1	4	Di ntila i mam mana inyu boñ le maséé més ma ba nyonok.
1 Yôhanes	62	1	5	I nwin unu won di bi nôgôl i nyeni, won di ñañle bé le: Nyambe a yé mapubi, jiibe jo ki jo li ta bé ikété yé.
1 Yôhanes	62	1	6	Ibale di nkal le: “Di gwé adna ni nye,” ndi di kôndge ki kil ikété jiibe, wee di ntembee, di niñ bé to inoñnaga ni maliga.
1 Yôhanes	62	1	7	Ndi ibale di yé i kil ikété mapubi kiki nyemede a yé ikété mapubi, wee di gwé toi adna bés ni bés, yak matjél ma Man wé Yésu ma mpubus bés inyu bibéba gwobisôna.
1 Yôhanes	62	1	8	Ibale di nkal le: “Di gwé bé béba,” wee di yé i lôk bésbomede, to maliga ma ta bé ikété yés.
1 Yôhanes	62	1	9	Ibale di mpahal bibéba gwés, a yé maliga, a téé ki sép inyu nwéhél bés bibéba gwés ni pubus bés inyu ngitelepsép yosôna.
1 Yôhanes	62	1	10	Ibale di nkal le: “Di bi boñ bé béba,” wee di nyilha nye mut bitembee, to bañga yé i ta bé ikété yés.
book	book_id	chapter	verse	text
1 Yôhanes	62	2	1	A bon bem batitigi, me ntilna bé i mam mana inyu boñ le ni boñ bañ béba. Ndi ibale mut a mboñ toi béba, di gwé nhôla yak Tata, mut a téé sép le Yésu Kristô.
1 Yôhanes	62	2	2	A yé sesema inyu kôp nsañ inyu bibéba gwés, ha inyu bibéba gwés gwotama bé, ndi Yak inyu bi nkoñ ’isi wonsôna.
1 Yôhanes	62	2	3	Ni njel ini nyen di nyi le di bi pam i yi nye, hala wee ibale di nke ni bisu i nôgôl mambén mé.
1 Yôhanes	62	2	4	I mut a nkal le: “Me mpam i yi nye,” ndi a nôgôl bé mambén mé, a yé mut bitembee, to maliga ma ta bé ikété yé.
1 Yôhanes	62	2	5	Ndi nu ni nu a nôgôl yaga bañga yé, gwéha i Nyambe i yôni toi ikété mut nu. Ni njel ini nyen di nyi le di yé ikété adna ni nye.
1 Yôhanes	62	2	6	I mut a nkal le a ntéñbe ikété adna ni nye, nyemede a yé nyégsaga i kônde hiôm nlélém kiki yak nye a bi hiôm.
1 Yôhanes	62	2	7	A bagwéha, me ntilna bé me bé mbén mondo, ndi me ntilna bé nlômbi mbén ni bi kôhna ibôdôl i bibôdle. I bañga ni bi nok yon i yé i nlômbi mbén unu.
1 Yôhanes	62	2	8	Me nkônde ki le, me yé i tilna bé mbén mondo i i yé maliga inyu yé, i bak ki maliga inyu nan, inyule jiibe li yé i tagbe, yak bañga mapubi i mal bôdôl bai.
1 Yôhanes	62	2	9	I mut a nkal le a yé ikété mapubi ndi a ook maasañ, wee a ngi yii ikété jiibe.
1 Yôhanes	62	2	10	I mut a ngwés maasañ a ngi yii ikété mapubi, to ngok baagene i ta bé inyu yé.
1 Yôhanes	62	2	11	Ndi i mut a ñoo maasañ a yé ikété jiibe, a nkil ki ikété jiibe, a nyi bé to i homa a nke inyule jiibe li nkwés mis mé ndim.
1 Yôhanes	62	2	12	Me yé i tilna bé, a boñge batitigi, inyule bibéba binan bi mal nwéhlana inyu jôl jé.
1 Yôhanes	62	2	13	Me yé i tilna bé, a basañ, inyule ni bi pam i yi nu a yé ibôdôl i bibôdle. Me yé i tilna bé, a boñge ba wanda, inyule ni bi yémbél mut mbe. Me ntilna bé, a boñge batitigi, inyule ni bi pam i yi Tata.
1 Yôhanes	62	2	14	Me ntilna bé, a basañ, inyule ni bi pam i yi nu a yé ibôdôl i bibôdle. Me ntilna bé, a boñge ba wanda, inyule ni gwé ngui, ni le bañga i Nyambe i ngi yii ikété nan, ni bi yémbél ki mut mbe.
1 Yôhanes	62	2	15	Ni gwés bañ nkoñ ’isi, to i mam ma yé ikété nkoñ ’isi. Ibale mut a ngwés nkoñ ’isi, gwéha inyu Tata i ta bé ikété yé;
1 Yôhanes	62	2	16	inyule i mam momasôna ma yé ikété nkoñ ’isi, kiki bo minheña mi minsôn, ni minheña mi mis, ni libambal bigwel moo bi niñ inyu nene, bi nlôl bé yak Tata ndi bi nlôl ni nkoñ ’isi.
